,target,type,5_mean,5_std,10_mean,10_std,15_mean,15_std,20_mean,20_std,30_mean,30_std,40_mean,40_std,50_mean,50_std,100_mean,100_std
Torque1_No transfer,Torque1,No transfer,21.15637455049178,2.0534072869830213,19.022867959662385,2.043929105305403,17.279162286399337,1.658252597470691,15.821634552558368,1.5722223790933463,13.660656707953194,1.4177115669522258,12.16957554067196,1.5585193877980994,10.813653355153624,1.1094028924945598,nan,nan
Torque1_Only source,Torque1,Only source,24.940624945786663,11.40910490463083,20.309798497241182,1.774442262077755,19.49261011043064,1.4250039653844582,19.329384652278556,1.3475567513372781,18.262096789670377,1.9153761244559637,18.006624305024413,1.7620947389231203,17.541493733207002,1.6284122471829041,nan,nan
Torque1_Argumented,Torque1,Argumented,21.337987891771295,2.3493176396015305,18.941813050377895,1.711757794550648,16.78060217904253,1.2659168821911655,15.346501911791687,1.9709547180393039,12.66854029280391,1.5625402338843035,11.033025337506508,1.5750990531933526,9.925596210107257,1.079760484418554,nan,nan
Torque1_HTL-offset,Torque1,HTL-offset,24.61544185303854,11.52316243788736,19.148486159129128,2.01609113075056,17.6598478659023,1.5801006800837174,17.09837893169705,2.1467992284604716,15.19535439319587,3.3725156882289995,14.2976329337934,3.8210125776898654,12.82998316412073,2.9723095313317867,nan,nan
Torque1_HTL-scale,Torque1,HTL-scale,24.86308694172381,8.527274200327875,20.28748153963462,3.3195908241186043,20.043227909138196,7.541897034480197,19.14422113657173,3.1941860154627673,17.797406364218233,2.82578248953535,18.534231174248365,3.2523224830108393,18.05907681251508,4.441758648467813,nan,nan
Torque1_Proposed method,Torque1,Proposed method,21.336142518646927,2.101697952823966,18.917244528886123,2.0890713788204036,17.442373985812964,1.9260121751706314,15.600117804912927,1.6824906261317116,13.3779759737039,1.953918199796521,11.597938784057032,1.4818063867465419,10.401718798718383,0.9253866423439965,nan,nan
Torque1_Proposed method 2,Torque1,Proposed method 2,21.571693740165045,2.0479859364497983,19.16091962945344,2.1099470593074385,18.052526698313105,1.671685335451479,16.866409583323808,2.85426240790212,15.243747198312601,4.316051415473589,12.130274135775947,1.4349129909599254,11.165391712391864,1.2049913926441804,nan,nan
Torque1_Proposed method 3,Torque1,Proposed method 3,21.393064080231444,1.9082048473543114,18.740649062202948,1.9131369344432758,17.208272632760476,1.377445089077255,15.715879396733637,1.8536939614338273,13.016952318198145,1.4291401643216775,11.507801963175165,1.4739481627182776,10.271647478939371,0.9935720827887303,nan,nan
Torque2_No transfer,Torque2,No transfer,15.801545102304576,2.3808056058799814,12.99513440375315,1.4215801118455211,11.497410940314401,0.965923129439584,10.432129001312056,0.821238076120866,9.392442143589353,0.9777711052015828,8.376863883071561,0.767242631177791,7.7244497598699935,0.7534234345363368,nan,nan
Torque2_Only source,Torque2,Only source,15.308424637260936,2.3121181853604953,12.988157633460915,1.5148865257606057,12.415386317009848,2.215603629169601,11.930092957660966,3.022892693761437,12.128702768263077,7.431748179802955,10.152995848444451,1.8243925122134708,9.448106498290995,1.989738355367546,nan,nan
Torque2_Argumented,Torque2,Argumented,15.684057461509479,2.4844974779988407,12.729206487123662,1.468515348095954,11.092649264603851,1.3332672100921852,9.962114306729498,1.4129991896776268,8.646551690234732,1.0506794959990244,7.646640838238253,0.928527029669952,6.99267908062469,0.6148575370600173,nan,nan
Torque2_HTL-offset,Torque2,HTL-offset,15.210945555116083,2.2778524719572775,12.811221706540596,1.6201468421869136,11.977838620723482,2.452982080187165,11.766104698438436,3.105838252143237,11.889248201606405,7.512534629117413,9.892781256967988,1.8668478580204253,9.118169163379381,2.081334595885037,nan,nan
Torque2_HTL-scale,Torque2,HTL-scale,15.218253571635827,2.2885350032621976,12.648925763140014,1.586732654125688,12.11212655057284,2.3213565858010194,11.680087317466045,3.118530171244487,11.865178558082976,7.518931224933378,9.953521378790995,1.8627576715980891,9.14764686091609,2.046083256496975,nan,nan
Torque2_Proposed method,Torque2,Proposed method,14.373084041616789,1.603155773163648,12.721152192851882,1.8168606997293013,11.514120174588237,1.9270601491453327,10.78083276807623,1.681369384520319,9.575892133984215,1.970981800265029,7.9591245227053635,1.039125470697573,7.521293124742378,0.674279161083914,nan,nan
Torque2_Proposed method 2,Torque2,Proposed method 2,15.279619358278277,1.5113570914124508,13.550530387035797,1.824070428255993,12.495272757662574,1.6252063907169179,11.729213762546973,2.103243478567465,11.702312041645895,3.6977210865494987,8.999241450335898,1.4591494583949718,7.88104112225424,1.1037186296702086,nan,nan
Torque2_Proposed method 3,Torque2,Proposed method 3,14.588566395154213,1.8608317961511893,12.83365302516217,1.4531508731132163,11.367566902519929,1.4805149897963548,10.464356577886509,1.6351126065590331,9.385741458924093,1.7926129367509969,8.165862145398993,1.0597141467837874,7.576132476678578,0.8703166386520986,nan,nan
Torque3_No transfer,Torque3,No transfer,9.926765927534014,1.6483786450946165,8.169782938231046,0.9961584706033576,7.835479738873362,2.59956116601937,6.966844304653908,1.096657575109855,5.965393729793574,0.9167491160244079,5.331181762673898,0.9421317728589359,4.560235945314985,0.4012024204731344,nan,nan
Torque3_Only source,Torque3,Only source,8.986574090565359,2.9816815075115364,7.624184651853676,2.346522428100276,6.908524086108665,1.6522282148816463,6.446228907718059,1.1964795880883228,5.658521366926958,0.9077759732350502,5.310886935600131,0.9680239570088685,4.954990635750635,0.9642011470498284,nan,nan
